@relation mqp_features

@attribute dt numeric
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute gx numeric
@attribute gy numeric
@attribute gz numeric
@attribute rx numeric
@attribute ry numeric
@attribute rz numeric
@attribute rw numeric

@data
1475604581430.000128,0.999921,0.002395,-1.184337,-0.012783,-0.005326,0.002131,?,?,?,?
1475604581444.999936,0.944835,0.128134,-0.89454,-0.017044,-0.008522,0.003196,?,?,?,?
1475604581500.999936,1.117277,0.106578,-0.93765,-0.004261,-0.001065,0.006392,?,?,?,?
1475604581532,1.038241,0.134121,-1.150807,-0.010653,-0.009587,0.005326,?,?,?,?
1475604581563.000064,1.099314,0.096998,-0.983155,0.014914,0.006392,0.005326,?,?,?,?
1475604581599.000064,1.007106,0.081431,-1.094524,0,0.006392,0.004261,?,?,?,?
1475604581624.999936,0.977168,0.025148,-1.17356,0,0.006392,0,?,?,?,?
1475604581684.999936,1.083746,0.00479,-1.084944,0.012783,0.011718,0.001065,?,?,?,?
1475604581710.000128,1.001118,0.091011,-0.95681,0.009587,0.013848,-0.003196,?,?,?,?
1475604581747.000064,1.107697,0.059875,-1.038241,0.002131,0.023436,0,?,?,?,?
1475604581811.000064,0.996328,0.075443,-0.999921,0.010653,0.014914,0.001065,?,?,?,?
1475604581823.000064,1.002316,0.144899,-1.044229,0.004261,0.018109,0.005326,?,?,?,?
1475604581855.000064,0.984353,0.053888,-1.017883,0.003196,0.012783,0.017044,?,?,?,?
1475604582015.000064,1.043031,0.199984,-0.920885,0.034088,-0.001065,0.02024,?,?,?,?
1475604582028,1.059796,0.096998,-0.900527,0.031958,0.002131,0.025566,?,?,?,?
1475604582033.999872,1.007106,-0.085023,-1.001118,0.027697,-0.008522,0.028762,?,?,?,?
1475604582088,0.97597,-0.056283,-1.209485,0.023436,-0.011718,0.024501,?,?,?,?
1475604582142.000128,1.055006,0.015568,-1.028661,0.024501,-0.004261,-0.007457,?,?,?,?
1475604582184,1.044229,0.050295,-1.068179,-0.002131,0.035154,-0.001065,?,?,?,?
1475604582227.000064,0.766406,0.00479,-1.087339,-0.022371,0.025566,-0.003196,?,?,?,?
1475604582262.000128,0.953218,-0.136516,-0.886157,-0.019175,0.026632,-0.012783,?,?,?,?
1475604582287.000064,1.027463,-0.026345,-0.997526,0.002131,0.037284,0.009587,?,?,?,?
1475604582324,1.023871,0.177231,-0.803529,0.034088,0.027697,0.014914,?,?,?,?
1475604582356,0.88496,-0.044308,-0.646655,0.024501,0.015979,0.008522,?,?,?,?
1475604582388.999936,0.94244,0.02395,-0.938848,-0.008522,0,0.007457,?,?,?,?
1475604582416,0.986748,-0.03353,-1.386716,0.029827,0.002131,-0.006392,?,?,?,?
1475604582448.999936,1.135239,0.011975,-1.305286,0.003196,0.018109,-0.007457,?,?,?,?
1475604582492.999936,1.039438,0.049098,-0.943638,-0.005326,0.034088,-0.008522,?,?,?,?
1475604582539.000064,1.072969,0.099393,-0.998723,0.015979,0.014914,-0.011718,?,?,?,?
